Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De-Energization,month
AMETHYST,SCE Deer Canyon,19.7,55.8,31/46,12.97,Exceeded Threshold Exceeded FPI,Nov
CALSTATE,SCE Devil Canyon,41.6,59.7,31/46,12,Exceeded Threshold Exceeded FPI,Nov
MODJESKA,SCE Dove Canyon,27,48.2,30/44,13,Exceeded Threshold Exceeded FPI,Nov
VETERANS,SCE Pacoima Dam,13.1,44.9,31/46,14.01,High Wind Trend Exceeded FPI,Nov
MIDDLE ROAD,SCE Santa Paula,20.6,40.9,26/42,12,High Wind Trend Exceeded FPI,Nov
PYLE,SCE Toland Park,26.5,45.6,28/44,12,Exceeded Threshold Exceeded FPI,Nov
ANGUS,SCE Toland Park,26.5,45.6,31/46,12.06,High Wind Trend Exceeded FPI,Nov
ZONE,SCE Las Posas Hills 2,24.5,44.6,31/46,13.01,High Wind Trend Exceeded FPI,Nov
NAPA,SCE Vector Sherman Rd,28.6,40.9,28/39,12,Exceeded Threshold Exceeded FPI,Nov
ESTABAN,SCE El Rio,21.7,42.1,31/45,13.97,High Wind Trend Exceeded FPI,Nov
PASCAL,SCE Pechanga Rd,21.8,44.9,31/44,12.99,Exceeded Threshold Exceeded FPI,Nov
VIENTO,Hart Flat,23,41,31/46,13.1,High Wind Trend Exceeded FPI,Nov
RUSTIC,SCE Trabuco Canyon,28.1,44.9,31/46,12.89,High Wind Trend Exceeded FPI,Nov
ENERGY,SCE West Woolsey Canyon,20.3,48.1,31/46,13.04,Exceeded Threshold Exceeded FPI,Nov
BIG ROCK,SCE West Woolsey Canyon,20.3,48.1,31/46,13,Exceeded Threshold Exceeded FPI,Nov
LAZARO,SCE Anza Rd,26,43.1,28/40,12,Exceeded Threshold Exceeded FPI,Nov
CHAWA,SCE Anza Rd,27,44.4,31/46,13.52,High Wind Trend Exceeded FPI,Nov
IMPALA,SCE Sierra Ave,40.1,57.9,31/46,12.9,Exceeded Threshold Exceeded FPI,Nov
RMV 1243,CAPC1 Bell Canyon RAWS,26,55,31/46,12,Exceeded Threshold Exceeded FPI,Nov
BOOTLEGGER,SCE Acton Canyon,22.4,44.6,31/46,13.01,High Wind Trend Exceeded FPI,Nov
LOPEZ,SCE Kagel Canyon,19.2,41.2,31/46,14.06,High Wind Trend Exceeded FPI,Nov
SAND CANYON,SCE Soledad Canyon Rd,22.1,44.5,31/46,12.11,High Wind Trend Exceeded FPI,Nov
JORDAN,SCE Highway 155,21.2,46.8,27/46,12.98,Exceeded Threshold Exceeded FPI,Nov
ANGUS,SCE Hopper Mountain,12.4,45.7,31/46,12.06,High Wind Trend Exceeded FPI,Nov
ZONE,SCE Somis,23.6,44.1,31/46,13.01,High Wind Trend Exceeded FPI,Nov
CALSTATE,SCE Badger Canyon Rd,37.2,61.6,31/46,12,Exceeded Threshold Exceeded FPI,Nov
VARGAS,SCE Sycamore Canyon Rd,23.5,48.3,31/46,12.86,Exceeded Threshold Exceeded FPI,Nov
GILLIBRAND,SCE Valley View,15.8,41.5,31/46,12,High Wind Trend Exceeded FPI,Nov
NAPOLEON,SCE Minnesota Ave,21.5,40.1,31/45,14.04,High Wind Trend Exceeded FPI,Nov
DUKE,SCE Minnesota Ave,21.5,40.1,30/46,13.04,High Wind Trend Exceeded FPI,Nov
MORELLO,SCE Minnesota Ave,21.5,40.1,31/45,13.05,High Wind Trend Exceeded FPI,Nov
ANTON,SCE Moorpark,15.7,46.1,31/46,14.03,Exceeded Threshold Exceeded FPI,Nov
GABBERT,SCE Moorpark,15.7,46.1,31/46,14,Exceeded Threshold Exceeded FPI,Nov
COLLINS,SCE Moorpark,15.7,46.1,31/43,12.96,Exceeded Threshold Exceeded FPI,Nov
ARROWHEAD/ DEVIL CANYON/ MOJAVE SIHPON/ SHANDIN,N/A,51.3,64.7,40/58,12.38,Exceeded Threshold Exceeded FPI,Nov
TAPO,SCE Valley View,17.1,42.7,31/46,13.03,High Wind Trend Exceeded FPI,Nov
LOUCKS,SCE LETTEAU MTWY,21.3,40,31/46,13.08,High Wind Trend Exceeded FPI,Nov
ACOSTA,SCE Big Tree Cucamonga,32.2,57.1,31/46,13.95,Exceeded Threshold,Nov
RANIER,SCE Minnesota Ave,21.9,41.1,31/45,13.05,High Wind Trend Exceeded FPI,Nov
POWER,SCE Cajon Blvd,27.4,58.7,31/46,8.97,Exceeded Threshold,Nov
DELUZ,SCE La Cruz Dr,27.1,42.5,27.44,10.98,High Wind Trend,Nov
ARLENE,SCE SOLEMINT MTWY,39.7,51,31/46,12.09,Exceeded Threshold Exceeded FPI,Nov
RACER,SCE Solemint Mtwy,38.2,49.4,31/46,12.09,Exceeded Threshold Exceeded FPI,Nov
ZONE,SCE SOMIS,23.6,44.1,31/46,13.01,High Wind Trend Exceeded FPI,Nov
VERA CRUZ,SCE Carbon Canyon,31.4,43.3,28./42,12,Exceeded Threshold Exceeded FPI,Nov
TWIN LAKES,SCE COCHRAN ST,27.3,49.3,31/45,12.99,Exceeded Threshold Exceeded FPI,Nov
BIG ROCK,SCE COCHRAN ST,26.2,37.4,31/46,13,High Wind Trend Exceeded FPI,Nov
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,Exceeded Threshold Exceeded FPI,Nov
GUNSITE,SCE Mias Canyon,28.3,42,31/46,13.14,High Wind Trend Exceeded FPI,Nov
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,Exceeded Threshold Exceeded FPI,Nov
GUNSITE,SCE Mias Canyon,28.3,42,31/46,13.14,High Wind Trend Exceeded FPI,Nov
METTLER,SCE CUMMINGS VALLEY,27,40,23/37,12,Exceeded Threshold Exceeded FPI,Nov
CUDDEBACK,SCE CUMMINGS VALLEY,27,40,23/37,12,Exceeded Threshold Exceeded FPI,Nov
GRAPEVINE PEAK,GRAPEVINE PEAK (RAWS),32,40,31/46,12.07,Exceeded Threshold Exceeded FPI,Nov
FROZEN,GRAPEVINE PEAK (RAWS),32,40,31/46,13.08,Exceeded Threshold Exceeded FPI,Nov
TUFA,SCE BODIE STATE PARK,26,38,31/46,13.06,High Wind Trend Exceeded FPI,Nov
CAIN RANCH,SCE RUSH CREEK,28.8,56.2,31/46,13.18,Exceeded Threshold Exceeded FPI,Nov
SHOVEL,SCE SIERRA PALOMA,22.8,31.9,25/40,12.18,High Wind Trend Exceeded FPI,Nov
SAND CANYON,SCE MAGIC MOUNTAIN TRUCK TRAIL,36,49,31/46,13.34,Exceeded Threshold Exceeded FPI,Nov
BIRCHIM,SCE ROUND VALLEY,32.5,49.8,31/46,14.08,Exceeded Threshold Exceeded FPI,Nov
BIRCHIM,SCE PINE CREEK,27.6,50.1,31/46,14.08,Exceeded Threshold Exceeded FPI,Nov
REVERSE PEAK,SCE CRESTVIEW RADIO,16.1,48.2,31/46,12.47,Exceeded Threshold Exceeded FPI,Nov
GNATCATCHER,SCE CUMMINGS VALLEY,26.11,35.3,31/46,12.75,High Wind Trend Exceeded FPI,Nov
TANAGER,SCE CUMMINGS VALLEY,27.6,38.7,31/44,12,High Wind Trend Exceeded FPI,Nov
CONDOR,SCE BEAR MOUNTAIN 2,27.2,41.9,31/46,12,High Wind Trend Exceeded FPI,Nov
CONDOR,SCE CUMMINGS VALLEY,27.2,41.9,31/46,12,High Wind Trend Exceeded FPI,Nov
ARLENE,SOLEMINT,33.79,53.63,31/46,12.07,High Wind Trend,Nov
PICK,SCE RED ROVER MINE,21.3,43.6,31/46,12.11,High Wind Trend Exceeded FPI Value,Nov
BOOTLEGGER,ACTON CANYON,25.17,41.94,31/46,13.01,High Wind Trend Exceeded FPI Value,Nov
SHOVEL,LETTEAU CANYON,23.6,44,25/40,12.12,High Wind Trend Exceeded FPI Value,Nov
SHOVEL,LETTEAU CANYON,21.77,44.5,25/40,12.12,High Wind Trend Exceeded FPI Value,Nov
LOUCKS,LETTEAU CANYON,23.6,44,31/46,12.1,High Wind Trend Exceeded FPI Value,Nov
DAVENPORT,SCE RATTLE SNAKE RD,23.61,43.99,31/46,12.11,High Wind Trend Exceeded FPI Value,Nov
DAVENPORT,RATTLE SNAKE RD,16.84,43.04,31/46,12.11,High Wind Trend Exceeded FPI Value,Nov
SAND CANYON,MAGIC MTN TRUCK TRAIL,25.39,45.23,31/46,13.1,High Wind Trend Exceeded FPI,Nov
SAND CANYON,MAGIC MTN TRUCK TRAIL,37,52.8,31/46,13.1,High Wind Trend Exceeded FPI,Nov
CAMP BALDY,SCE SAN ANTONIO CREEK RD,17.02,45.52,31/46,12.84,High Wind Trend Exceeded FPI Value,Nov
FERRARA,SCE ICEHOUSE CANYON RD,170.02,45.52,31/46,12.93,High Wind Trend Exceeded FPI Value,Nov
BIG ROCK,COCHRAN ST,33.67,48.08,31/46,12.1,High Wind Trend Exceeded FPI,Nov
BIG ROCK,COCHRAN ST,29.8,43.3,31/46,12,High Wind Trend Exceeded FPI Value,Nov
ENERGY,BROWNS CANYON,31.2,49.8,31/46,12.1,High Wind Trend Exceeded FPI Value,Nov
ENERGY,WEST WOOSLEY,29.46,41.87,31/46,12.1,High Wind Trend Exceeded FPI Value,Nov
GUITAR,SCE TAPO CANYON,21.18,34.27,31/46,12.07,High Wind Trend Exceeded FPI Value,Nov
ATENTO,SCE Rancho Santa Margarita,19.1,41.57,31/46,12.93,High Wind Trend Exceeded FPI Value,Nov
ATENTO,SCE Baker Canyon,23.99,42.89,31/46,12.93,High Wind Trend Exceeded FPI Value,Nov
ATENTO,SCE Rancho Santa Margarita,19.1,41.57,31/46,12.93,High Wind Trend Exceeded FPI Value,Nov
RUSTIC,SCE TRABUCO CANYON 2,26.72,37.85,31/46,12.86,High Wind Trend Exceeded FPI Value,Nov
AMETHYST,DEER CANYON,25.7,57.5,31/46,12.51,High Wind Trend Exceeded FPI Value,Nov
VARGAS,SCE SYCAMORE CANYON RD,15.22,39.24,31/46,12.92,High Wind Trend Exceeded FPI Value,Nov
ICEHOUSE,SCE ICEHOUSE CANYON RD,17.02,45.52,31/46,12,High Wind Trend Exceeded FPI Value,Nov
CALSTATE,SCE DEVIL CANYON,42.62,65.25,31/46,13.95,High Wind Trend Exceeded FPI Value,Nov
BLUE CUT,SCE CAJON PASS,23.29,43.99,31/46,12,High Wind Trend Exceeded FPI Value,Nov
IMPALA,LYTE CREEK WASH,25.7,36.83,31/46,12.95,High Wind Trend Exceeded FPI Value,Nov
NORTHPARK,SCE Devore Heights,16.32,41.5,31/46,13.99,High Wind Trend Exceeded FPI Value,Nov
NORTHPARK,SCE DEVORE HEIGHTS,16.32,41.5,31/46,13.92,High Wind Trend Exceeded FPI Value,Nov
ACOSTA,SAN SEVAIN FLATS,29.56,61.16,31/46,13.92,High Wind Trend Exceeded FPI,Nov
ARROWHEAD/ DEVIL CANYON/ MOJAVE SIPHON/,SCE DEVIL CANYON,25.7,36.83,40/50,13.96,High Wind Trend Exceeded FPI,Nov
ANTON,HAPPY CAMP RD,32.84,48.37,31/46,12.05,High Wind Trend Exceeded FPI,Nov
TAPO,TAPO CANYON,24.7,45.8,31/46,13.05,High Wind Trend Exceeded FPI,Nov
TWIN LAKES,SCE COCHRAN ST,23.82,55.09,31/46,12,High Wind Trend Exceeded FPI,Nov
ACOSTA,SCE Big Tree Cucamonga,36.1,64.52,31 / 46,12.56, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
ACOSTA,SCE Summit Ave,34.63,67.81,31 / 46,12.56, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
AMETHYST,SCE Deer Canyon,30.94,51,31 / 46,12.55, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
ANTON,SCE Happy Camp,34.54,56.85,31 / 46,12.51, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
ANTON,SCE Happy Camp,34.54,56.85,31 / 46,12.51, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
ATENTO,SCE Silverado Canyon,18.8,44,31 / 46,12.5, High Wind Trend  Exceeded FPI Value,Oct
AVANTI,SCE W Little League Dr,40.55,73.65,31 / 46,12.56, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
BEAR VALLEY,SCE Kilkare Rd,8.94,29.88,18 / 29,13.24, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
BEAR VALLEY,SCE Big Falls 2,13.48,29,18 / 29,13.24, Met Threshold  High Wind Trend  Exceeded FPI Value,Oct
BIG ROCK,SCE Cochran St,27,70,31 / 46,12.57, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
BLACKHILLS,SCE Thunder Ridge,30.7,46.2,31 / 46,14+, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
BLUE CUT,N/A,N/A,N/A,N/A,N/A, Source line lost,Oct
BOOTLEGGER,SCE Palamino Dr,25.63,47.86,31 / 46,14.15, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
BOOTLEGGER,SCE,28.39,43.18,31 / 46,14.15, High Wind Trend,Oct
CABANA,SCE Badger Canyon,46.5,63.64,31 / 46,12.57, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
CALSTATE,SCE Badger Canyon,38.32,65.74,31 / 46,12.57, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
CAMP ANGELUS,N/A,N/A,N/A,N/A,N/A, Source line lost,Oct
CAMP BALDY,N/A,N/A,N/A,N/A,N/A, Source line lost,Oct
CANEBRAKE,SCE Canebrake Creek,29.5,47.9,31 / 46,12.23, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
CLUB OAKS,SCE Arrowhead Springs Rd,37.77,59.7,31 / 46,12.52, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
COOLER,N/A,N/A,N/A,31 / 46,12.45, Observed Hazard,Oct
DAVENPORT,SCE Rattle Snake Rd,23.78,49.47,31 / 46,12.57, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
DAVENPORT,SCE Country Breeze Ln,20.23,41.12,31 / 46,12.57, High Wind Trend  Exceeded FPI Value,Oct
DE MILLE,N/A,N/A,N/A,N/A,N/A, Source line lost,Oct
ECHO,SCE Arrowhead Springs Rd,20.42,45.89,31 / 46,12.52, Met Threshold  High Wind Trend  Exceeded FPI Value,Oct
ENERGY,SCE Oat Mountain,35.63,54.51,31 / 46,12.54, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
ENERGY,SCE Browns Canyon,48.62,68.61,31 / 46,12.54, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
FERRARA,SCE San Antonio Canyon,15.15,48.44,31 / 46,14.3, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
GALENA,SCE Thunder Ridge,33,43,31 / 46,14, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
GOWAN,SCE Whitney Dr,30.2,48.4,31 / 46,12.57, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
GREEN RIVER,SCE Santa Ana River Bikeway,35.2,61.2,30.55 / 39.5,N/A, Exceeded Threshold  1% Historical  High Wind Trend,Oct
GUITAR,SCE Tapo Canyon,32.11,44.21,31 / 46,12.51, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
HILLFIELD,SCE Solemint Mtwy,36.64,54.24,31 / 46,12.58, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
ICEHOUSE,N/A,N,A,N/A,N/A, Source line lost,Oct
IMPALA,SCE Lytle Creek Wash,42.79,60.13,31 / 46,12.58, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
JEEP,SCE Amador Ln,26.98,40.92,27 / 43,12.26, Met Threshold  High Wind Trend  Exceeded FPI Value,Oct
JENKS LAKE,N/A,N/A,N/A,N/A,N/A, Source line lost,Oct
KICKAPOO TRAIL,SCE Little Morongo Rd,25.16,45.74,31 / 46,12.2, Met Threshold  High Wind Trend  Exceeded FPI Value,Oct
KIMDALE,SCE Lake Mathews,33.27,45.16,31 / 45,12.56, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
LOPEZ,SCE Meyers Canyon,19.88,54.43,31 / 46,12.55, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
LOPEZ,SCE Kagel Canyon,20.41,41.87,31 / 46,12.55, Observed Hazard  Exceeded FPI Value,Oct
LOUCKS,N/A,N/A,N/A,N/A,N/A, Source line lost,Oct
RUSTIC,SCE Trabuco Canyon Rd 2,13.3,59.55,31 / 46,12.49, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
SAND CANYON,SCE Magic Mtn Truck Trail,64.87,96.2,31 / 46,12.58, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
SAND CANYON,SCE Magic Mtn Truck Trail,57.88,75.33,31 / 46,12.58, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
SHOVEL,SCE Letteau Canyon,28.93,52.46,25 / 40,12.56, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
SUTT,SCE Arrowhead Springs Rd,14,47.79,31 / 46,12.57, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
SUTT,SCE Arrowhead Springs Rd,35.97,59.99,31 / 46,12.57, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
SWEETWATER,SCE Kendell Drive,36.23,62.25,31 / 46,12.57, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
TAIWAN,SCE Santiago Canyon Rd,29.5,54.36,31 / 46,12.48, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
TAIWAN,SCE Chapman Avenue,32.18,61.74,31 / 46,12.48, Observed Hazard  Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
TAPO,SCE Tapo Canyon,32,44,31 / 46,12.55, Exceeded Threshold  High Wind Trend  Exceeded FPI Value,Oct
TWIN LAKES,SCE Cochran St,27.12,69.85,31 / 45,12.57, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
VARGAS,SCE Sycamore,21.16,66.49,31 / 46,12.53, Exceeded Threshold  1% Historical,Oct
VERA CRUZ,SCE Carbon Canyon,33.6,52.4,28.04 / 42,N/A, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
VERDEMONT,SCE W Little League Dr,40.55,73.65,31 / 46,12.57, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
VIDEO,SCE Henninger Flats Rd,21.75,49.76,28 / 45,12.54, Exceeded Threshold  1% Historical  High Wind Trend  Exceeded FPI Value,Oct
WEESHA,N/A,N/A,N/A,N/A,N/A, Source line lost,Oct
SAND CANYON,SCE Magic Mountain Truck Trail,33.36,49.98,31/46,13,Exceeded Threshold Exceeded FPI,Dec
NORTHPARK,SCE W Little League Dr,30.7,42.8,31/46,13,High Wind Trend Exceeded FPI,Dec
ECHO,SCE Arrowhead Springs Rd,29.7,44.4,31/46,13,High Wind Trend Exceeded FPI,Dec
SUTT,SCE Arrowhead Springs Rd,29.7,44.4,31/46,13,High Wind Trend Exceeded FPI,Dec
CLUB OAKS,SCE Arrowhead Springs Rd,29.7,44.4,31/46,13,High Wind Trend Exceeded FPI,Dec
