Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De‐Energization,month,days,year,Wind Threshold,Gust Threshold,Wind Trigger Percentage,Gust Trigger Percentage,Combined Trigger Percentage,start day,end day,start,end
BLUE CUT,SCE Cajon Pass,20.7,42.7,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,66.77419354838709,92.82608695652175,92.82608695652175,29,29,2020-11-29,2020-11-29
RED BOX,CHILAO (CHOC1),38.0,49.0,31/46,13.02,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,122.58064516129032,106.5217391304348,122.58064516129032,29,29,2020-11-29,2020-11-29
WOBEGONE,SCE Lakeview Ave E,25.1,37.0,28/40,12.02,"High Wind Trend, Exceeded FPI,",Nov,29,2020,28.0,40.0,89.64285714285715,92.5,92.5,29,29,2020-11-29,2020-11-29
TAHQUITZ,SCE Apple Canyon,21.8,39.7,31/46,13.47,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,70.3225806451613,86.30434782608695,86.30434782608695,29,29,2020-11-29,2020-11-29
RAINBOW,SCE Bixby Rd,21.9,40.4,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,70.64516129032258,87.82608695652173,87.82608695652173,29,29,2020-11-29,2020-11-29
PURCHASE,Cabazon (RAWS) BAZC1,23.0,43.0,31/46,13.03,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,74.19354838709677,93.47826086956522,93.47826086956522,29,29,2020-11-29,2020-11-29
TIMBER CANYON,SCE Toland Park,23.4,43.3,31/46,14.03,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,75.48387096774192,94.13043478260869,94.13043478260869,29,29,2020-11-29,2020-11-29
PHEASANT,SCE Walling Dr,30.2,41.7,31/45,13.03,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,97.41935483870967,92.66666666666667,97.41935483870967,29,29,2020-11-29,2020-11-29
SOGGY,SCE Ramona Expy,28.2,42.8,28/40,12.01,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,40.0,100.71428571428571,106.99999999999999,106.99999999999999,29,29,2020-11-29,2020-11-29
HONEYCRISP,SCE San Timoteo Canyon,22.4,38.9,24/42,12.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,24.0,42.0,93.33333333333333,92.6190476190476,93.33333333333333,29,29,2020-11-29,2020-11-29
GREAT SALT,SCE Lakeview Ave E,28.2,42.8,29/42,12.98,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,29.0,42.0,97.24137931034483,101.9047619047619,101.9047619047619,29,29,2020-11-29,2020-11-29
ESTABAN,SCE Hondo Barranca Rd,20.5,50.9,31/45,13.97,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,45.0,66.12903225806451,113.11111111111111,113.11111111111111,29,29,2020-11-29,2020-11-29
CASTRO,SCE Anlauf Canyon,24.8,41.6,30/46,13.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,30.0,46.0,82.66666666666667,90.43478260869566,90.43478260869566,29,29,2020-11-29,2020-11-29
BONNEVILLE,SCE West Contour Rd,19.1,37.9,28/40,12.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,28.0,40.0,68.21428571428572,94.75,94.75,29,29,2020-11-29,2020-11-29
NORTHPARK,SCE Devore Heights,12.0,43.1,31/46,12.9,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,38.70967741935484,93.69565217391305,93.69565217391305,29,29,2020-11-29,2020-11-29
OLIVER,SCE Ramona Expy,14.8,41.0,29/42,12.99,"High Wind Trend, Exceeded FPI,",Nov,29,2020,29.0,42.0,51.03448275862069,97.61904761904762,97.61904761904762,29,29,2020-11-29,2020-11-29
CORSAIR,SCE Red Mountain Rd,20.7,39.6,30/42,14.53,"High Wind Trend, Exceeded FPI,",Nov,29,2020,30.0,42.0,69.0,94.28571428571428,94.28571428571428,29,29,2020-11-29,2020-11-29
LOCKNER,SCE Orchard/2 Rd,13.6,44.1,31/45,13.02,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,43.87096774193549,98.0,98.0,29,29,2020-11-29,2020-11-29
STAR ROCK,SCE Santa Ana River Bikeway,26.3,43.4,31/44,12.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,44.0,84.83870967741936,98.63636363636363,98.63636363636363,29,29,2020-11-29,2020-11-29
OAK KNOLL,SCE Crab Flats,26.9,54.7,31/46,12.19,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,86.77419354838709,118.91304347826089,118.91304347826089,29,29,2020-11-29,2020-11-29
LOPEZ,SCE Little Tujunga Canyon Rd,9.2,40.8,31/46,14.06,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,29.677419354838708,88.69565217391305,88.69565217391305,29,29,2020-11-29,2020-11-29
FLAKE,SCE Moreno Valley Fwy,20.3,41.7,28/36,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,36.0,72.5,115.83333333333334,115.83333333333334,29,29,2020-11-29,2020-11-29
CUTHBERT,SCE Ramirez Canyon,27.9,47.5,31/46,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,89.99999999999999,103.26086956521738,103.26086956521738,29,29,2020-11-29,2020-11-29
SONOMA,SCE Joppe Ave,27.9,44.1,28/39,13.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,39.0,99.64285714285714,113.07692307692308,113.07692307692308,29,29,2020-11-29,2020-11-29
TAIWAN,SCE Chapman Ave,23.9,43.2,31/46,12.98,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,77.09677419354838,93.91304347826087,93.91304347826087,29,29,2020-11-29,2020-11-29
EASTER,SCE Cottonwood /2,21.6,39.4,29/41,12.97,"High Wind Trend, Exceeded FPI,",Nov,29,2020,29.0,41.0,74.48275862068967,96.09756097560975,96.09756097560975,29,29,2020-11-29,2020-11-29
DAVENPORT,SCE Rattle Snake Rd,24.3,47.9,31/46,12.11,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,78.38709677419355,104.13043478260869,104.13043478260869,29,29,2020-11-29,2020-11-29
DAVENPORT,SCE Letteau Canyon,26.4,43.4,31/46,12.11,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,85.16129032258064,94.34782608695652,94.34782608695652,29,29,2020-11-29,2020-11-29
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,86.45161290322581,115.43478260869566,115.43478260869566,29,29,2020-11-29,2020-11-29
ROUNDEL,SCE Elm Ave,26.7,41.1,31/44,14.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,44.0,86.12903225806451,93.4090909090909,93.4090909090909,29,29,2020-11-29,2020-11-29
SHOVEL,SCE Antelope Valley Fwy,23.4,39.9,25/40,12.11,"High Wind Trend, Exceeded FPI,",Nov,29,2020,25.0,40.0,93.6,99.75,99.75,29,29,2020-11-29,2020-11-29
STUBBY,SCE Millard Pass,26.5,46.4,31/46,13.03,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,85.48387096774194,100.8695652173913,100.8695652173913,29,29,2020-11-29,2020-11-29
STUBBY,SCE Mias Canyon,25.9,41.9,31/46,13.03,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,83.54838709677419,91.08695652173913,91.08695652173913,29,29,2020-11-29,2020-11-29
STORES,SCE Millard Pass,26.5,46.4,31/46,13.55,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,85.48387096774194,100.8695652173913,100.8695652173913,29,29,2020-11-29,2020-11-29
GUITAR,SCE Tapo Canyon,28.2,46.3,31/46,13.09,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,90.96774193548387,100.65217391304347,100.65217391304347,29,29,2020-11-29,2020-11-29
TAPO,SCE Tapo Canyon,28.2,46.3,31/46,13.03,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,90.96774193548387,100.65217391304347,100.65217391304347,29,29,2020-11-29,2020-11-29
BING,SCE Elm Ave,24.3,44.4,31/45,14.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,78.38709677419355,98.66666666666666,98.66666666666666,29,29,2020-11-29,2020-11-29
SCHMIDT,SCE Minnesota Ave,17.9,40.0,31/44,14.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,44.0,57.74193548387097,90.9090909090909,90.9090909090909,29,29,2020-11-29,2020-11-29
PICK,SCE Red Rover Mine,18.8,47.4,31/46,12.09,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,60.64516129032258,103.04347826086956,103.04347826086956,29,29,2020-11-29,2020-11-29
AMETHYST,SCE Deer Canyon,19.7,55.8,31/46,12.97,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,63.54838709677419,121.30434782608694,121.30434782608694,29,29,2020-11-29,2020-11-29
CALSTATE,SCE Devil Canyon,41.6,59.7,31/46,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,134.1935483870968,129.7826086956522,134.1935483870968,29,29,2020-11-29,2020-11-29
MODJESKA,SCE Dove Canyon,27.0,48.2,30/44,13.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,30.0,44.0,90.0,109.54545454545455,109.54545454545455,29,29,2020-11-29,2020-11-29
VETERANS,SCE Pacoima Dam,13.1,44.9,31/46,14.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,42.25806451612903,97.6086956521739,97.6086956521739,29,29,2020-11-29,2020-11-29
MIDDLE ROAD,SCE Santa Paula,20.6,40.9,26/42,12.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,26.0,42.0,79.23076923076924,97.38095238095238,97.38095238095238,29,29,2020-11-29,2020-11-29
PYLE,SCE Toland Park,26.5,45.6,28/44,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,44.0,94.64285714285714,103.63636363636364,103.63636363636364,29,29,2020-11-29,2020-11-29
ANGUS,SCE Toland Park,26.5,45.6,31/46,12.06,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,85.48387096774194,99.1304347826087,99.1304347826087,29,29,2020-11-29,2020-11-29
ZONE,SCE Las Posas Hills 2,24.5,44.6,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,79.03225806451613,96.95652173913044,96.95652173913044,29,29,2020-11-29,2020-11-29
NAPA,SCE Vector Sherman Rd,28.6,40.9,28/39,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,39.0,102.14285714285715,104.87179487179488,104.87179487179488,29,29,2020-11-29,2020-11-29
ESTABAN,SCE El Rio,21.7,42.1,31/45,13.97,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,70.0,93.55555555555556,93.55555555555556,29,29,2020-11-29,2020-11-29
PASCAL,SCE Pechanga Rd,21.8,44.9,31/44,12.99,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,44.0,70.3225806451613,102.04545454545455,102.04545454545455,29,29,2020-11-29,2020-11-29
VIENTO,Hart Flat,23.0,41.0,31/46,13.1,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,74.19354838709677,89.13043478260869,89.13043478260869,29,29,2020-11-29,2020-11-29
RUSTIC,SCE Trabuco Canyon,28.1,44.9,31/46,12.89,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,90.64516129032259,97.6086956521739,97.6086956521739,29,29,2020-11-29,2020-11-29
ENERGY,SCE West Woolsey Canyon,20.3,48.1,31/46,13.04,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,65.48387096774194,104.56521739130436,104.56521739130436,29,29,2020-11-29,2020-11-29
BIG ROCK,SCE West Woolsey Canyon,20.3,48.1,31/46,13.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,65.48387096774194,104.56521739130436,104.56521739130436,29,29,2020-11-29,2020-11-29
LAZARO,SCE Anza Rd,26.0,43.1,28/40,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,40.0,92.85714285714286,107.75000000000001,107.75000000000001,29,29,2020-11-29,2020-11-29
CHAWA,SCE Anza Rd,27.0,44.4,31/46,13.52,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,87.09677419354838,96.52173913043478,96.52173913043478,29,29,2020-11-29,2020-11-29
IMPALA,SCE Sierra Ave,40.1,57.9,31/46,12.9,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,129.35483870967744,125.8695652173913,129.35483870967744,29,29,2020-11-29,2020-11-29
RMV 1243,CAPC1 Bell Canyon RAWS,26.0,55.0,31/46,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,83.87096774193549,119.56521739130434,119.56521739130434,29,29,2020-11-29,2020-11-29
BOOTLEGGER,SCE Acton Canyon,22.4,44.6,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,72.25806451612902,96.95652173913044,96.95652173913044,29,29,2020-11-29,2020-11-29
LOPEZ,SCE Kagel Canyon,19.2,41.2,31/46,14.06,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,61.935483870967744,89.56521739130436,89.56521739130436,29,29,2020-11-29,2020-11-29
SAND CANYON,SCE Soledad Canyon Rd,22.1,44.5,31/46,12.11,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,71.29032258064517,96.73913043478261,96.73913043478261,29,29,2020-11-29,2020-11-29
JORDAN,SCE Highway 155,21.2,46.8,27/46,12.98,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,27.0,46.0,78.51851851851852,101.7391304347826,101.7391304347826,29,29,2020-11-29,2020-11-29
ANGUS,SCE Hopper Mountain,12.4,45.7,31/46,12.06,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,40.0,99.34782608695653,99.34782608695653,29,29,2020-11-29,2020-11-29
ZONE,SCE Somis,23.6,44.1,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,76.12903225806453,95.86956521739131,95.86956521739131,29,29,2020-11-29,2020-11-29
CALSTATE,SCE Badger Canyon Rd,37.2,61.6,31/46,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,120.00000000000001,133.91304347826087,133.91304347826087,29,29,2020-11-29,2020-11-29
VARGAS,SCE Sycamore Canyon Rd,23.5,48.3,31/46,12.86,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,75.80645161290323,105.0,105.0,29,29,2020-11-29,2020-11-29
GILLIBRAND,SCE Valley View,15.8,41.5,31/46,12.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,50.967741935483865,90.21739130434783,90.21739130434783,29,29,2020-11-29,2020-11-29
NAPOLEON,SCE Minnesota Ave,21.5,40.1,31/45,14.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,69.35483870967742,89.11111111111111,89.11111111111111,29,29,2020-11-29,2020-11-29
DUKE,SCE Minnesota Ave,21.5,40.1,30/46,13.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,30.0,46.0,71.66666666666667,87.17391304347827,87.17391304347827,29,29,2020-11-29,2020-11-29
MORELLO,SCE Minnesota Ave,21.5,40.1,31/45,13.05,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,69.35483870967742,89.11111111111111,89.11111111111111,29,29,2020-11-29,2020-11-29
ANTON,SCE Moorpark,15.7,46.1,31/46,14.03,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,50.645161290322584,100.21739130434784,100.21739130434784,29,29,2020-11-29,2020-11-29
GABBERT,SCE Moorpark,15.7,46.1,31/46,14.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,50.645161290322584,100.21739130434784,100.21739130434784,29,29,2020-11-29,2020-11-29
COLLINS,SCE Moorpark,15.7,46.1,31/43,12.96,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,43.0,50.645161290322584,107.20930232558139,107.20930232558139,29,29,2020-11-29,2020-11-29
TAPO,SCE Valley View,17.1,42.7,31/46,13.03,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,55.16129032258065,92.82608695652175,92.82608695652175,29,29,2020-11-29,2020-11-29
LOUCKS,SCE LETTEAU MTWY,21.3,40.0,31/46,13.08,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,68.70967741935485,86.95652173913044,86.95652173913044,29,29,2020-11-29,2020-11-29
RANIER,SCE Minnesota Ave,21.9,41.1,31/45,13.05,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,70.64516129032258,91.33333333333333,91.33333333333333,29,29,2020-11-29,2020-11-29
ARLENE,SCE SOLEMINT MTWY,39.7,51.0,31/46,12.09,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,128.06451612903226,110.86956521739131,128.06451612903226,29,29,2020-11-29,2020-11-29
RACER,SCE Solemint Mtwy,38.2,49.4,31/46,12.09,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,123.22580645161293,107.3913043478261,123.22580645161293,29,29,2020-11-29,2020-11-29
ZONE,SCE SOMIS,23.6,44.1,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,76.12903225806453,95.86956521739131,95.86956521739131,29,29,2020-11-29,2020-11-29
VERA CRUZ,SCE Carbon Canyon,31.4,43.3,28./42,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,28.0,42.0,112.14285714285714,103.09523809523809,112.14285714285714,29,29,2020-11-29,2020-11-29
TWIN LAKES,SCE COCHRAN ST,27.3,49.3,31/45,12.99,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,45.0,88.06451612903226,109.55555555555554,109.55555555555554,29,29,2020-11-29,2020-11-29
BIG ROCK,SCE COCHRAN ST,26.2,37.4,31/46,13.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,84.51612903225806,81.30434782608695,84.51612903225806,29,29,2020-11-29,2020-11-29
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,86.45161290322581,115.43478260869566,115.43478260869566,29,29,2020-11-29,2020-11-29
GUNSITE,SCE Mias Canyon,28.3,42.0,31/46,13.14,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,91.29032258064517,91.30434782608695,91.30434782608695,29,29,2020-11-29,2020-11-29
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,86.45161290322581,115.43478260869566,115.43478260869566,29,29,2020-11-29,2020-11-29
GUNSITE,SCE Mias Canyon,28.3,42.0,31/46,13.14,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,91.29032258064517,91.30434782608695,91.30434782608695,29,29,2020-11-29,2020-11-29
METTLER,SCE CUMMINGS VALLEY,27.0,40.0,23/37,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,23.0,37.0,117.3913043478261,108.10810810810811,117.3913043478261,14,18,2020-11-14,2020-11-18
CUDDEBACK,SCE CUMMINGS VALLEY,27.0,40.0,23/37,12.0,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,23.0,37.0,117.3913043478261,108.10810810810811,117.3913043478261,14,18,2020-11-14,2020-11-18
GRAPEVINE PEAK,GRAPEVINE PEAK (RAWS),32.0,40.0,31/46,12.07,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,103.2258064516129,86.95652173913044,103.2258064516129,14,18,2020-11-14,2020-11-18
FROZEN,GRAPEVINE PEAK (RAWS),32.0,40.0,31/46,13.08,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,103.2258064516129,86.95652173913044,103.2258064516129,14,18,2020-11-14,2020-11-18
TUFA,SCE BODIE STATE PARK,26.0,38.0,31/46,13.06,"High Wind Trend, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,83.87096774193549,82.6086956521739,83.87096774193549,14,18,2020-11-14,2020-11-18
CAIN RANCH,SCE RUSH CREEK,28.8,56.2,31/46,13.18,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,92.90322580645162,122.17391304347827,122.17391304347827,14,18,2020-11-14,2020-11-18
SHOVEL,SCE SIERRA PALOMA,22.8,31.9,25/40,12.18,"High Wind Trend, Exceeded FPI,",Nov,14-18,2020,25.0,40.0,91.2,79.75,91.2,14,18,2020-11-14,2020-11-18
SAND CANYON,SCE MAGIC MOUNTAIN TRUCK TRAIL,36.0,49.0,31/46,13.34,"Exceeded Threshold, Exceeded FPI,",Nov,14-18,2020,31.0,46.0,116.12903225806453,106.5217391304348,116.12903225806453,14,18,2020-11-14,2020-11-18
